interaction_id,response,correct,stars
1,poda,False,0
2,saaptaen da,False,0
3,vada,False,0
4,vada,False,0
5,right la da,False,0
father_01,elle appa,False,1
father_02,mudiyaathudaa laavanyaa kopaal,False,1
father_03,mudiyaathudaa,False,1
father_04,கொடுக்க மாட்டேன்டா சோம்பேறி,False,1
stranger_01,theriyaatha medam.,False,1
teacher_01,kud morning maam.,False,2
friend_01,no da,False,2
friend_02,okedaa paarkkalaam.,False,1
friend_03,seri,False,2
teacher_02,illa maam.,False,1
teacher_03,hiyar yoo ko maam.,False,1
